task_id,passed,avg_cyclomatic_complexity,max_cyclomatic_complexity,style_score,efficiency_score,loc_score,functional_correctness,overall_score
HumanEval/0,False,,,0.0,,0.92,0.0,0.0
HumanEval/1,False,,,0.0,,0.92,0.0,0.0
HumanEval/2,False,,,0.0,,0.92,0.0,0.0
HumanEval/3,True,0.7,0.7,0.0,,0.86,1.0,0.7758865896508329
HumanEval/4,False,,,0.0,,0.92,0.0,0.0
HumanEval/5,True,0.7,0.7,0.625,0.9999978542327881,0.84,1.0,0.7785994684352395
HumanEval/6,False,,,0.0,,0.92,0.0,0.0
HumanEval/7,False,,,0.0,,0.92,0.0,0.0
HumanEval/8,False,,,0.0,,0.92,0.0,0.0
HumanEval/9,False,,,0.0,,0.92,0.0,0.0
HumanEval/10,False,,,0.0,,0.92,0.0,0.0
HumanEval/11,False,,,0.0,,0.92,0.0,0.0
HumanEval/12,False,,,0.0,,0.92,0.0,0.0
HumanEval/13,False,,,0.0,,0.92,0.0,0.0
HumanEval/14,False,,,0.0,,0.92,0.0,0.0
HumanEval/15,False,,,0.0,,0.92,0.0,0.0
HumanEval/16,True,0.9,0.9,0.0,0.9999985694885254,0.96,1.0,0.9524401770216192
HumanEval/17,False,,,0.0,,0.92,0.0,0.0
HumanEval/18,False,,,0.0,,0.92,0.0,0.0
HumanEval/19,False,,,0.0,,0.92,0.0,0.0
HumanEval/20,True,0.7,0.7,0.0,,0.8,1.0,0.7483314773547882
HumanEval/21,False,,,0.0,,0.92,0.0,0.0
HumanEval/22,False,,,0.0,,0.92,0.0,0.0
HumanEval/23,False,,,0.0,,0.92,0.0,0.0
HumanEval/24,False,,,0.0,,0.92,0.0,0.0
HumanEval/25,False,,,0.0,,0.92,0.0,0.0
HumanEval/26,False,,,0.0,,0.92,0.0,0.0
HumanEval/27,True,0.9,0.9,0.0,0.9999986489613851,0.96,1.0,0.9524402022527028
HumanEval/28,False,,,0.0,,0.92,0.0,0.0
HumanEval/29,False,,,0.0,,0.92,0.0,0.0
HumanEval/30,True,0.7,0.7,0.0,0.9999987284342448,0.98,1.0,0.8819443611093452
HumanEval/31,False,,,0.0,,0.92,0.0,0.0
HumanEval/32,False,,,0.0,,0.92,0.0,0.0
HumanEval/33,True,0.5,0.5,0.0,0.9999985694885254,0.84,1.0,0.7488868816244177
HumanEval/34,False,,,0.0,,0.92,0.0,0.0
HumanEval/35,False,,,0.0,,0.92,0.0,0.0
HumanEval/36,False,,,0.0,,0.92,0.0,0.0
HumanEval/37,False,,,0.0,,0.92,0.0,0.0
HumanEval/38,False,,,0.0,,0.92,0.0,0.0
HumanEval/39,False,,,0.0,,0.92,0.0,0.0
HumanEval/40,False,,,0.0,,0.92,0.0,0.0
HumanEval/41,False,,,0.0,,0.92,0.0,0.0
HumanEval/42,False,,,0.0,,0.96,0.0,0.0
HumanEval/43,True,0.7,0.7,0.42857142857142866,0.9999986489613851,0.86,1.0,0.7126967523755406
HumanEval/44,True,0.7,0.7,0.5555555555555556,0.9999984900156657,0.8200000000000001,1.0,0.7514666006264938
HumanEval/45,True,0.9,0.9,0.0,0.999998410542806,0.96,1.0,0.952440126559448
HumanEval/46,True,0.4,0.4,0.0,0.9999988079071045,0.8,1.0,0.6839901068772138
HumanEval/47,False,,,0.0,,0.92,0.0,0.0
HumanEval/48,True,0.9,0.9,0.0,0.9999987284342448,0.96,1.0,0.9524402274837851
HumanEval/49,False,,,0.0,,0.92,0.0,0.0
HumanEval/50,False,1.0,1.0,0.0,,0.94,0.0,0.0
HumanEval/51,False,,,0.0,,0.96,0.0,0.0
HumanEval/52,True,0.7,0.7,0.0,0.9999986489613851,0.9,1.0,0.8572615021665277
HumanEval/53,False,,,0.0,,0.92,0.0,0.0
HumanEval/54,False,,,0.0,,0.92,0.0,0.0
HumanEval/55,True,0.8,0.8,0.0,0.9999988079071045,0.9,1.0,0.8962805931612408
HumanEval/56,False,,,0.0,,0.92,0.0,0.0
HumanEval/57,False,,,0.0,,0.92,0.0,0.0
HumanEval/58,False,,,0.0,,0.92,0.0,0.0
HumanEval/59,False,,,0.0,,0.92,0.0,0.0
HumanEval/60,False,,,0.0,,0.92,0.0,0.0
HumanEval/61,False,,,0.0,,0.92,0.0,0.0
HumanEval/62,False,0.8,0.8,0.0,,0.96,0.0,0.0
HumanEval/63,False,,,0.0,,0.92,0.0,0.0
HumanEval/64,False,,,0.0,,0.92,0.0,0.0
HumanEval/65,False,,,0.0,,0.92,0.0,0.0
HumanEval/66,False,,,0.0,,0.92,0.0,0.0
HumanEval/67,False,,,0.0,,0.96,0.0,0.0
HumanEval/68,False,,,0.0,,0.92,0.0,0.0
HumanEval/69,False,,,0.0,,0.92,0.0,0.0
HumanEval/70,False,,,0.0,,0.96,0.0,0.0
HumanEval/71,False,,,0.0,,0.92,0.0,0.0
HumanEval/72,True,0.8,0.8,0.0,0.9999981721242269,0.96,1.0,0.9157708360702106
HumanEval/73,True,0.7,0.7,0.4,0.9999984900156657,0.8,1.0,0.6879578659484333
HumanEval/74,False,,,0.0,,0.92,0.0,0.0
HumanEval/75,False,,,0.0,,0.92,0.0,0.0
HumanEval/76,False,,,0.0,,0.92,0.0,0.0
HumanEval/77,True,0.8,0.8,0.33333333333333337,0.9999986489613851,0.88,1.0,0.6960055527204398
HumanEval/78,True,0.7,0.7,0.25,0.9999989668528239,0.92,1.0,0.6334412724796022
HumanEval/79,False,,,0.0,,0.92,0.0,0.0
HumanEval/80,False,,,0.0,,0.92,0.0,0.0
HumanEval/81,False,,,0.0,,0.92,0.0,0.0
HumanEval/82,False,,,0.0,,0.92,0.0,0.0
HumanEval/83,False,,,0.0,,0.92,0.0,0.0
HumanEval/84,False,,,0.0,,0.92,0.0,0.0
HumanEval/85,False,,,0.0,,0.96,0.0,0.0
HumanEval/86,False,,,0.0,,0.92,0.0,0.0
HumanEval/87,False,,,0.0,,0.9,0.0,0.0
HumanEval/88,False,,,0.0,,0.92,0.0,0.0
HumanEval/89,False,,,0.0,,0.92,0.0,0.0
HumanEval/90,False,,,0.0,,0.92,0.0,0.0
HumanEval/91,False,,,0.0,,0.92,0.0,0.0
HumanEval/92,False,,,0.0,,0.92,0.0,0.0
HumanEval/93,False,,,0.0,,0.92,0.0,0.0
HumanEval/94,False,,,0.0,,0.92,0.0,0.0
HumanEval/95,False,,,0.0,,0.92,0.0,0.0
HumanEval/96,False,,,0.0,,0.92,0.0,0.0
HumanEval/97,False,,,0.0,,0.96,0.0,0.0
HumanEval/98,False,,,0.0,,0.92,0.0,0.0
HumanEval/99,False,,,0.0,,0.92,0.0,0.0
HumanEval/100,False,,,0.0,,0.92,0.0,0.0
HumanEval/101,False,,,0.0,,0.92,0.0,0.0
HumanEval/102,False,,,0.0,,0.92,0.0,0.0
HumanEval/103,False,,,0.0,,0.92,0.0,0.0
HumanEval/104,False,,,0.0,,0.92,0.0,0.0
HumanEval/105,False,,,0.0,,0.96,0.0,0.0
HumanEval/106,False,,,0.0,,0.96,0.0,0.0
HumanEval/107,True,0.6,0.6,0.5555555555555556,0.9999986489613851,0.8,1.0,0.7186079812091807
HumanEval/108,False,,,0.0,,0.92,0.0,0.0
HumanEval/109,True,0.5,0.5,0.22222222222222224,0.9999988079071045,0.8200000000000001,1.0,0.5494051249823353
HumanEval/110,False,,,0.0,,0.92,0.0,0.0
HumanEval/111,False,,,0.0,,0.92,0.0,0.0
HumanEval/112,False,,,0.0,,0.92,0.0,0.0
HumanEval/113,False,,,0.0,,0.92,0.0,0.0
HumanEval/114,False,,,0.0,,0.92,0.0,0.0
HumanEval/115,False,,,0.0,,0.92,0.0,0.0
HumanEval/116,True,0.9,0.9,0.0,0.9999982515970866,0.96,1.0,0.9524400760972713
HumanEval/117,False,,,0.0,,0.92,0.0,0.0
HumanEval/118,False,,,0.0,,0.92,0.0,0.0
HumanEval/119,False,,,0.0,,0.92,0.0,0.0
HumanEval/120,False,,,0.0,,0.92,0.0,0.0
HumanEval/121,False,,,0.0,,0.92,0.0,0.0
HumanEval/122,False,,,0.0,,0.92,0.0,0.0
HumanEval/123,False,,,0.0,,0.92,0.0,0.0
HumanEval/124,True,0.0,0.0,0.7,0.9999984900156657,0.6,1.0,0.7488868617856614
HumanEval/125,False,,,0.0,,0.92,0.0,0.0
HumanEval/126,False,,,0.0,,0.92,0.0,0.0
HumanEval/127,False,,,0.0,,0.92,0.0,0.0
HumanEval/128,False,,,0.0,,0.92,0.0,0.0
HumanEval/129,False,1.0,1.0,0.0,,0.56,0.0,0.0
HumanEval/130,False,,,0.0,,0.92,0.0,0.0
HumanEval/131,False,,,0.0,,0.92,0.0,0.0
HumanEval/132,False,,,0.0,,0.92,0.0,0.0
HumanEval/133,False,,,0.0,,0.92,0.0,0.0
HumanEval/134,False,,,0.0,,0.92,0.0,0.0
HumanEval/135,False,,,0.0,,0.92,0.0,0.0
HumanEval/136,False,,,0.0,,0.92,0.0,0.0
HumanEval/137,False,,,0.0,,0.92,0.0,0.0
HumanEval/138,True,0.8,0.8,0.0,0.9999987284342448,0.96,1.0,0.9157710058879862
HumanEval/139,False,,,0.0,,0.92,0.0,0.0
HumanEval/140,False,,,0.0,,0.92,0.0,0.0
HumanEval/141,False,0.8,0.8,0.25,0.9999985694885254,0.92,0.0,0.0
HumanEval/142,False,,,0.0,,0.92,0.0,0.0
HumanEval/143,False,,,0.0,,0.92,0.0,0.0
HumanEval/144,False,,,0.0,,0.96,0.0,0.0
HumanEval/145,False,,,0.0,,0.92,0.0,0.0
HumanEval/146,False,,,0.0,,0.92,0.0,0.0
HumanEval/147,False,,,0.0,,0.92,0.0,0.0
HumanEval/148,False,,,0.0,,0.92,0.0,0.0
HumanEval/149,False,,,0.0,,0.92,0.0,0.0
HumanEval/150,False,,,0.0,,0.92,0.0,0.0
HumanEval/151,False,,,0.0,,0.92,0.0,0.0
HumanEval/152,False,,,0.0,,0.92,0.0,0.0
HumanEval/153,False,,,0.0,,0.92,0.0,0.0
HumanEval/154,False,,,0.0,,0.92,0.0,0.0
HumanEval/155,False,,,0.0,,0.96,0.0,0.0
HumanEval/156,False,,,0.0,,0.98,0.0,0.0
HumanEval/157,False,,,0.0,,0.92,0.0,0.0
HumanEval/158,False,,,0.0,,0.98,0.0,0.0
HumanEval/159,False,,,0.0,,0.92,0.0,0.0
HumanEval/160,False,,,0.0,,0.92,0.0,0.0
HumanEval/161,False,,,0.0,,0.92,0.0,0.0
HumanEval/162,False,,,0.0,,0.92,0.0,0.0
HumanEval/163,False,,,0.0,,0.92,0.0,0.0
